objectID,title,period,dynasty,reign,objectDate,objectBeginDate,objectEndDate,medium,dimensions,classification,country,region,city,tags
562889,Tile,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 8 × W. 2.3 × D. 1.5 cm (3 1/8 × 7/8 × 9/16 in.),,Egypt,Eastern Delta,,
562959,Tile,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 7.7 × W. 7.5 × D. 2.5 cm (3 1/16 in. × 2 15/16 in. × 1 in.),,Egypt,Eastern Delta,,
567940,Tile with a fragment of a captive from the palace of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,"Faience, polychrome",H. 6.3 × W. 6.5 × D. 2.5 cm (2 1/2 × 2 9/16 × 1 in.),,Egypt,Eastern Delta,,
567941,Tile with a fragment from a head of a Mesopotamian captive from the palace of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 10 × W. 6.5 × D. 2.2 cm (3 15/16 × 2 9/16 × 7/8 in.),,Egypt,Eastern Delta,,
560154,Tile with a bound Nubian from the the side of a dais,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 16 × W. 17.4 × D. 7.5 cm (6 5/16 × 6 7/8 × 2 15/16 in.),,Egypt,Eastern Delta,,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]"
567946,Tile fragment of clumps of sedge and papyrus plants from the palace of Ramesses II,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,"Faience, mortar",H. 9.7 × W. 18.5 × D. 2 cm (3 13/16 × 7 5/16 × 13/16 in.),,Egypt,Eastern Delta,,
567943,"Tile fragment, part of a wig from a figure of the king","New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,ca. 1279–1213 B.C.,-1279,-1279,Faience,H. 12.2 × W. 7.8 × D. 3.2 cm (4 13/16 × 3 1/16 × 1 1/4 in.),,Egypt,Eastern Delta,,
550000,Head of a Goddess(?),"New Kingdom, post-Amarna Period",Dynasty 18,reign of Tutankhamun to Haremhab,ca. 1336–1295 B.C.,-1336,-1295,Granodiorite (?),"H. 15.1 × W. 17.9 × D. 15.5 cm, 3.2 kg (5 15/16 × 7 1/16 × 6 1/8 in., 7 lb.)",,Egypt,,,"[{'term': 'Goddess', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300343852', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q205985'}]"
569754,Amulet,"New Kingdom, Ramesside",Dynasty 19–20,,ca. 1295–1070 B.C.,-1295,-1295,Obsidian,H. 2.1 × W. 1 × D. 1.6 cm (13/16 × 3/8 × 5/8 in.),,Egypt,,,
548893,Fragment of the Sarcophagus of Senenmut (see 31.3.95),New Kingdom,Dynasty 18,Joint reign of Hatshepsut and Thutmose III,ca. 1479–1458 B.C.,-1473,-1458,Quartzite,Fragment not measured,,Egypt,"Upper Egypt, Thebes",,
